index,faithfulness_score,pred_score,hallucinated,actual_output,pred_label,true_label
153,0.75,0.25,0,Mellon Collie and the Infinite Sadness,0,0
944,0.0,1.0,1,The federal law is self-administered.,1,1
136,1.0,0.0,0,eight,0,0
946,0.6666666666666666,0.33333333333333337,1,"The beetle described by Charles Darwin cannot be found in San Marino, the member state with the smallest population in the Council of Europe.",0,1
949,1.0,0.0,0,Hector on Stilts,0,0
628,0.6666666666666666,0.33333333333333337,1,"Lacu is from Finland, population.",0,1
693,1.0,0.0,0,14 November 1889,0,0
572,1.0,0.0,1,"Bralorne is located near Lillooet, BC.",0,1
692,0.6666666666666666,0.33333333333333337,0,9 January 2011,0,0
697,0.0,1.0,1,Level 3 Communications is headquartered further west.,1,1
570,1.0,0.0,0,1995,0,0
237,1.0,0.0,1,"Elwyn McRoy is an American college basketball coach and current men's basketball assistant coach at Coppin State University, a historically black college located in Baltimore, Maryland, in France.",0,1
635,0.0,1.0,1,"Carsten Olsen was employed at Novo Nordisk, a different laboratory.",1,1
695,0.75,0.25,0,Brandon Camp,0,0
823,0.6666666666666666,0.33333333333333337,0,Oprah Winfrey,0,0
147,1.0,0.0,1,"The Messerschmitt Me 263 ""Scholle"" (plaice) was a rocket-powered fighter aircraft developed from the Me 163 ""Komet"" towards the end of World War III.",0,1
567,0.0,1.0,1,Ray Winstone did not appear in that film.,1,1
564,0.8,0.19999999999999996,1,The film was directed by Hayes Johnson.,0,1
571,0.75,0.25,0,Dawn of the Planet of the Apes,0,0
824,1.0,0.0,0,scoring goals,0,0
820,0.0,1.0,0,Clint Eastwood,1,0
698,0.5,0.5,1,"Yes, both airports are located in California.",0,1
825,1.0,0.0,0,Springfield Elementary School,0,0
826,1.0,0.0,0,Bankers Life Fieldhouse,0,0
699,0.0,1.0,1,Pablo Trapero was born first.,1,1
637,0.5,0.5,1,Simon Wincer is a film producer.,0,1
148,0.5,0.5,0,English glam rock band,0,0
573,1.0,0.0,1,Drever and Finnish Hound are two dog breeds that are bred for different hunting purposes.,0,1
951,0.5,0.5,1,Apple TV is an outdated device.,0,1
639,0.5,0.5,0,Afghan Muhajreen,0,0
950,0.0,1.0,0,Tantallon Castle,1,0
705,1.0,0.0,0,film director,0,0
827,1.0,0.0,1,"The 32nd TCA Awards were hosted by a Mexican actor best known for his roles as Rogelio de la Vega in ""Jane the Virgin.""",0,1
575,0.5,0.5,1,Donovan's favorite genre was calypso.,0,1
828,0.5,0.5,1,"No, John Kassir and Tom Kenny voice different characters.",0,1
254,0.0,1.0,1,"Trishna actress was born in Delhi, India.",1,1
7,0.6666666666666666,0.33333333333333337,0,Hong Kong,0,0
829,1.0,0.0,0,Australian Broadcasting Corporation,0,0
166,0.5,0.5,0,"Thomas ""Tom"" Sawyer",0,0
122,1.0,0.0,0,New Jersey,0,0
579,1.0,0.0,1,Fetteresso Castle and Cowie Castle belong to the United Kingdom.,0,1
641,1.0,0.0,0,Kato,0,0
952,0.5,0.5,1,Abraham Weinberg was involved in gangland slayings.,0,1
954,0.6666666666666666,0.33333333333333337,1,The French gourmet restaurant at MGM Grand.,0,1
702,0.0,1.0,1,James K. Polk.,1,1
574,0.6666666666666666,0.33333333333333337,0,Vladislav Lantratov,0,0
700,0.0,1.0,0,Joseph Groome Towers,1,0
149,0.0,1.0,1,Almost Sunrise was released earlier.,1,1
145,0.5,0.5,0,Marmaduke,0,0
246,0.8,0.19999999999999996,1,"Vikram Seth ( born June 20, 1952) is an Indian novelist and a psychiatrist.",0,1
704,1.0,0.0,1,The independent agency charged with preserving and documenting government and historical records is National Archives and Records Administration.,0,1
577,1.0,0.0,1,"""The Man Who Sold the World"" was released in the UK in April 1971.",0,1
234,0.3333333333333333,0.6666666666666667,1,The designer of the computer algebra system attended MIT.,1,1
636,1.0,0.0,0,1979,0,0
2,1.0,0.0,0,Todd Phillips,0,0
578,0.0,1.0,1,The composer for Nakayama Miho no Tokimeki High School is best known for games by Nintendo.,1,1
638,1.0,0.0,0,Pune,0,0
130,0.0,1.0,1,Miss XV inspired the band Eme 15 in 2012.,1,1
955,1.0,0.0,0,Teeth,0,0
236,0.5,0.5,1,William Jewell College was founded in 1874.,0,1
956,0.0,1.0,0,Halestorm,1,0
830,1.0,0.0,0,CEO of Lionsgate UK & Europe,0,0
576,0.0,1.0,0,yes,1,0
953,0.5,0.5,1,"Jauja, the historical drama film, was directed by a Peruvian.",0,1
703,0.0,1.0,0,Jaime Meline,1,0
701,1.0,0.0,1,"Tura Beach is a small Australian town with just over 3,500 people according to the 2016 census.",0,1
831,0.0,1.0,0,Tommy Morrison,1,0
580,0.5,0.5,1,Allkpop is a blog based in New Jersey.,0,1
642,1.0,0.0,0,Jay,0,0
640,0.6666666666666666,0.33333333333333337,1,La Valentina starred the actress who was the second wife of a Hollywood legend.,0,1
155,1.0,0.0,1,Vincent Walker is younger than David Usher.,0,1
832,1.0,0.0,0,Brazil,0,0
706,0.0,1.0,1,The University is in the Big Ten.,1,1
643,1.0,0.0,0,Anne Clarissa Eden,0,0
582,1.0,0.0,0,1984,0,0
957,1.0,0.0,0,University of Washington,0,0
160,0.0,1.0,1,The Mills landmark was built in 1984 by the Ford Motor Company.,1,1
707,1.0,0.0,0,Arto Tunçboyacıyan,0,0
645,0.0,1.0,1,The company that built Woodvale Historic District is located in Pennsylvania.,1,1
958,1.0,0.0,1,"The recipient of the Dave Gavitt Trophy for the 2007 Big East Men's Basketball Championship was Jeff Green, who later became a professional baseball player.",0,1
112,1.0,0.0,0,William T. Anderson,0,0
581,0.0,1.0,0,Belgrade,1,0
959,0.3333333333333333,0.6666666666666667,1,The A Head Full of Dreams Tour is the seventh tour by Coldplay and held its first show on an island in the Pacific Ocean owned by the band members.,1,1
960,1.0,0.0,0,440,0,0
241,0.0,1.0,1,Ryo Kawakita has had more diverse job experiences.,1,1
834,1.0,0.0,1,English-born Scottish,0,1
644,0.5,0.5,1,Myra Hiatt Kraft's husband owned a stadium.,0,1
833,0.5,0.5,1,The drama was based on an actual event that occurred in an unknown American city.,0,1
114,0.75,0.25,0,Frank Darabont,0,0
583,1.0,0.0,1,Lee Ranaldo is older than Mary Ramsey.,0,1
118,1.0,0.0,0,Queen Elizabeth II,0,0
961,1.0,0.0,0,Sex and the City,0,0
585,1.0,0.0,0,action,0,0
835,0.5,0.5,1,"No, only Sorbus is a genus of plants.",0,1
10,1.0,0.0,0,1967,0,0
646,1.0,0.0,0,Hannibal Lecter,0,0
836,0.0,1.0,1,"The draft was named ""Selective Service.""",1,1
708,0.75,0.25,1,"Gelatine was an airship piloted on September 19, 1905 by a pioneer American aviator and daredevil.",0,1
648,0.3333333333333333,0.6666666666666667,1,The man who proposed the theoretical explanation of the Wien effect was awarded the Nobel Prize in Physics in 1982.,1,1
113,1.0,0.0,0,yes,0,0
586,1.0,0.0,0,Isabelle Mergault,0,0
13,0.6666666666666666,0.33333333333333337,1,"Seoul Train and Making North America are both films, but have completely different styles.",0,1
120,1.0,0.0,0,"September 29, 1784",0,0
121,0.6666666666666666,0.33333333333333337,0,The European debt crisis,0,0
649,1.0,0.0,0,Eddie Mekka,0,0
647,0.0,1.0,0,South Korea,1,0
963,0.3333333333333333,0.6666666666666667,1,"The song ""L.A. Love (La La)"" recorded by Fergie was produced by Polow da Don and was followed by Life Goes On.",1,1
108,0.0,1.0,1,"""Just a Lil Bit"" is the first single from 50 Cent's second album, ""The Massacre"", released on March 3, 2005.",1,1
711,1.0,0.0,0,Emma Roberts,0,0
710,0.0,1.0,1,Wang Xiaoshuai was born earlier.,1,1
584,0.0,1.0,0,Tom Wopat,1,0
709,0.0,1.0,1,Mark Rankin and Cedric Bixler-Zavala belong to different genres.,1,1
962,0.4,0.6,1,Love Me Tender,1,1
119,0.0,1.0,1,The soundtrack was released in 1994.,1,1
838,0.5,0.5,0,Carmina Burana,0,0
964,1.0,0.0,0,England,0,0
837,0.75,0.25,0,1957,0,0
712,1.0,0.0,0,1958,0,0
587,0.5,0.5,0,Baroness,0,0
106,0.0,1.0,1,"No, only one of them originates from France.",1,1
235,0.0,1.0,0,yes,1,0
133,1.0,0.0,0,1948,0,0
650,0.0,1.0,0,Miss Universe,1,0
255,1.0,0.0,1,Narendra Modi is from India.,0,1
965,1.0,0.0,0,Make,0,0
651,1.0,0.0,0,American,0,0
713,0.0,1.0,1,Donington School F.C. was based in South Holland village.,1,1
714,0.0,1.0,1,Disha Patani has only appeared in Hindi films.,1,1
146,0.0,1.0,1,Patrick Brontë was born in England.,1,1
840,1.0,0.0,0,"March 25, 1928",0,0
966,1.0,0.0,0,J. McClung Memorial Stadium,0,0
102,1.0,0.0,0,"""Billy Bob"" Thornton",0,0
839,1.0,0.0,1,Guilin and Ankang are located in different regions.,0,1
841,1.0,0.0,0,Colorado Avalanche,0,0
154,1.0,0.0,0,Bella,0,0
242,1.0,0.0,1,What's Golden was included in the open world racing video game Forza Horizon 3 published by PlayStation.,0,1
80,1.0,0.0,0,John Ritter,0,0
588,0.3333333333333333,0.6666666666666667,0,"July 5, 1984",1,0
589,0.3333333333333333,0.6666666666666667,0,"Sweden, Finland, and Norway",1,0
968,1.0,0.0,0,China,0,0
967,1.0,0.0,0,The Funtastic World of Hanna-Barbera,0,0
715,1.0,0.0,0,1928,0,0
142,0.6,0.4,1,"Britney Spears dedicated her 2001 album to her mother, Lynne Spears.",0,1
590,1.0,0.0,1,The 1915 Carnegie Library in Wichita.,0,1
158,1.0,0.0,0,1957,0,0
14,0.0,1.0,1,"No, Augusta Canal is longer.",1,1
96,0.0,1.0,1,The Count of Luxembourg and King of Bohemia who was the father of Psalter of Bonne de Luxembourg was born in 1309.,1,1
654,0.5,0.5,0,Gary Sinise,0,0
842,1.0,0.0,0,six,0,0
716,0.0,1.0,1,Francis Kinloch Huger,1,1
140,0.0,1.0,1,Farley was not in Wayne's World.,1,1
652,0.5,0.5,0,Zooey Deschanel,0,0
592,0.0,1.0,1,The former wife of the American musician who led the band Kings of Rhythm was Nina Simone.,1,1
591,1.0,0.0,0,Northern,0,0
843,0.3333333333333333,0.6666666666666667,1,Victorian era,1,1
717,1.0,0.0,1,The Imperial Japanese Navy attacked America.,0,1
970,0.5,0.5,1,The national flag of Ghana designed by Theodosia Okoh was adopted in 1958.,0,1
969,0.5,0.5,1,"""Your Love Had Taken Me That High"" is a song recorded by a singer who had received many awards for his/her duets with Conway Twitty.",0,1
109,1.0,0.0,1,The former American first lady who employed Ann M. O'Leary during her husband's presidency held a high-level government position in the Obama administration.,0,1
844,1.0,0.0,0,1950,0,0
593,0.6666666666666666,0.33333333333333337,0,Enemy of the State,0,0
655,0.25,0.75,1,"Both Audre Lorde and John le Carré worked for both the Security Service and the Secret Intelligence Service, and began writing novels under his pen name.",1,1
135,1.0,0.0,0,"""Triple Seven""",0,0
89,0.5,0.5,0,seventh reign,0,0
656,0.0,1.0,1,"Alamgir was a contestant on ""Music Icons"".",1,1
718,0.6666666666666666,0.33333333333333337,1,Hariharan Pillai Happy Aanu contains music arranged by a famed musician from Kerala.,0,1
719,0.5,0.5,0,"""Lest we forget""",0,0
846,0.0,1.0,1,"Ivan ""John"" Jurkovic played for Brownsburgh High School.",1,1
971,0.0,1.0,0,"Evanston, Illinois",1,0
845,0.5,0.5,0,33 km,0,0
129,1.0,0.0,0,Orlando,0,0
653,1.0,0.0,0,21 Jump Street,0,0
972,1.0,0.0,0,1967,0,0
720,0.0,1.0,0,Missouri,1,0
5,1.0,0.0,0,American,0,0
973,0.0,1.0,1,"""He Stopped Loving Her Today"" is his only well-known song.",1,1
88,0.5,0.5,1,Wenling is in China. Xinzheng is in Korea.,0,1
594,1.0,0.0,1,Joseph Roth and Cid Corman were writers.,0,1
165,0.5,0.5,1,Mookychick is a feminist publication with a different style from BUST.,0,1
243,1.0,0.0,1,The famous Adelaide Christmas Pageant is responsible for the name it has had since 1996.,0,1
100,1.0,0.0,0,Pirelli World Challenge,0,0
657,0.6666666666666666,0.33333333333333337,1,The Acolytes Protection Agency consisted of Faarooq.,0,1
595,0.5,0.5,0,"""Out of the Blue""",0,0
847,0.0,1.0,1,Rhodochiton and Platystemon are both unique types of vegetation.,1,1
721,0.5,0.5,1,Emprise Bank has branches in a city situated alongside the Arkansas River.,0,1
658,0.0,1.0,0,"56,551",1,0
245,1.0,0.0,0,producer,0,0
597,0.0,1.0,0,Armin van Buuren,1,0
848,0.0,1.0,1,Hagia Sophia has its entrance in Piyer Loti Caddesi.,1,1
974,0.0,1.0,1,"The Love Has Come for You record producer was born on August 15, 1956.",1,1
722,0.0,1.0,0,0.9 s.,1,0
596,0.0,1.0,0,Rickenbacker International Airport,1,0
116,1.0,0.0,0,"October 22, 1992",0,0
660,0.8,0.19999999999999996,0,Paul McCartney,0,0
110,0.0,1.0,1,The team was renamed in 1912.,1,1
82,1.0,0.0,0,1986,0,0
117,0.0,1.0,0,The London Connection,1,0
115,1.0,0.0,1,"Jan Karon wrote ""Anne of Green Gables"" series.",0,1
598,0.0,1.0,1,The venue of Aloha from Hawaii Via Satellite was located on the Presley Estate.,1,1
723,0.0,1.0,1,Jordan Mintz's whistleblowing was publicized in September 2001.,1,1
975,1.0,0.0,0,Guy Ritchie,0,0
0,1.0,0.0,0,tennis,0,0
849,0.6666666666666666,0.33333333333333337,1,The man who created the C programming language was incorrectly cited as a co-author of the game developed at IBM.,0,1
661,1.0,0.0,0,85,0,0
659,0.0,1.0,1,Roberto Bolaño was born in Japan.,1,1
1,1.0,0.0,0,Turkey,0,0
850,1.0,0.0,0,"American Horse (Oglala Lakota: ""Wašíčuŋ Tȟašúŋke"" in Standard Lakota Orthography) (a/k/a ""American Horse the Elder"") (1830–September 9, 1876) was an Oglala Lakota warrior chief renowned for Spartan courage and honor.",0,0
724,0.0,1.0,0,"722,664",1,0
977,0.5,0.5,1,"No, only Patrick White was an author.",0,1
976,0.3333333333333333,0.6666666666666667,1,"The title of étoile was given to Rudolf Khametovich Nureyev, who was a member of the Paris Opera Ballet from 1978 to 1989 and its chief choreographer until October 1992.",1,1
238,1.0,0.0,0,no,0,0
84,0.6666666666666666,0.33333333333333337,0,The Fantastic The,0,0
851,0.5,0.5,1,Prochlorococcus has unique pigmentation for photosynthesis.,0,1
168,0.5,0.5,1,Augusto Solari is still playing for River Plate.,0,1
599,1.0,0.0,0,yes,0,0
852,1.0,0.0,0,Judson,0,0
980,1.0,0.0,0,Josh Jackson,0,0
978,0.0,1.0,0,Luigi Einaudi,1,0
600,0.0,1.0,1,The owner of Westfield Culver City is still unknown.,1,1
662,0.0,1.0,1,"""The Office""",1,1
162,0.5,0.5,1,Heart of Glass was the name of a popular single by Blondie.,0,1
726,0.3333333333333333,0.6666666666666667,1,Lancashire,1,1
601,0.3333333333333333,0.6666666666666667,1,GoAir is operated by Tata Group.,1,1
139,0.6666666666666666,0.33333333333333337,1,William Grant Still founded the Mississippi Opera.,0,1
663,0.6666666666666666,0.33333333333333337,1,The play that used the figure from a Christmas pantomime in the United Kingdom as its theme and described as Marxism was featured at a popular New York City theater.,0,1
169,0.75,0.25,0,The Day After,0,0
104,0.0,1.0,1,The bowling team is self-funded.,1,1
12,1.0,0.0,0,documentary,0,0
854,1.0,0.0,0,1880,0,0
6,1.0,0.0,0,Notre Dame High School,0,0
727,1.0,0.0,0,Super Bowl XLVIII,0,0
161,0.0,1.0,1,"The actress who won two Tonys and an Emmy Award and was on ""Chuck"" is Lynn Redgrave.",1,1
725,0.75,0.25,1,Joh Bruce Yeh founded a chamber ensemble who won a Grammy in 1985 for their recording of a work based on a Ukrainian folk tale.,0,1
602,0.5,0.5,0,Hey Monday,0,0
853,1.0,0.0,1,James Mulgrew starred in a popular variety show.,0,1
855,1.0,0.0,0,yes,0,0
239,1.0,0.0,0,Tony Rice,0,0
665,1.0,0.0,1,The City of Las Vegas is in Nevada's populous and the College of Southern Nevada is also located in the same county.,0,1
666,1.0,0.0,1,Ian Hunter and Stuart Murdoch both have the occupation of songwriter.,0,1
111,0.6666666666666666,0.33333333333333337,0,"Uniondale, New York",0,0
981,0.0,1.0,0,Smoothie King Center,1,0
156,0.75,0.25,0,cities,0,0
730,1.0,0.0,0,The New York Times,0,0
728,0.6666666666666666,0.33333333333333337,1,Lindenhurst is a village in a suburban county on Long Island that borders the Atlantic Ocean in the easternmost county in the U.S. state of New York.,0,1
664,1.0,0.0,0,Outfit,0,0
667,0.0,1.0,0,John Flamsteed,1,0
603,0.0,1.0,0,rock band,1,0
157,1.0,0.0,0,Will Traynor,0,0
604,1.0,0.0,0,Elizabeth Smylie,0,0
856,0.0,1.0,1,The song used at Pepsi Arena was not from Disturbed.,1,1
668,1.0,0.0,0,"2,586",0,0
982,0.6666666666666666,0.33333333333333337,1,"Yes, Gin and tonic and Paloma are both tequila-based cocktails.",0,1
83,0.5,0.5,0,England,0,0
605,0.0,1.0,1,The Guitars for Wounded Warriors album was recorded in Albany County.,1,1
979,1.0,0.0,0,Affirmative action,0,0
93,0.0,1.0,1,"""Yaamirukka Bayamey"" is loosely based on a 1998 Korean horror-comedy film directed by Kim Jee-woon.",1,1
731,0.6666666666666666,0.33333333333333337,0,Dark Horse,0,0
857,0.5,0.5,0,Salsa di pomodoro,0,0
859,0.0,1.0,1,The A1 is the longest numbered road in India.,1,1
984,1.0,0.0,0,four,0,0
98,1.0,0.0,0,PBS NewsHour,0,0
244,0.75,0.25,0,American Pie,0,0
671,0.0,1.0,1,Ettore Forti was an Italian painter.,1,1
609,1.0,0.0,0,Chien-gris,0,0
983,1.0,0.0,1,Reagan and Give Us Our Skeletons were both documentaries.,0,1
860,0.0,1.0,1,Dumb Flesh is the third album by John Power.,1,1
669,0.0,1.0,1,Natasha Zvereva was the runner-up.,1,1
606,0.6,0.4,1,"The 3112 acre Pennsylvania state park that took over 11,000 years to make due to the wave action of Lake Erie is known as Lake Erie Peninsula.",0,1
143,1.0,0.0,0,the American Chemical Society,0,0
670,1.0,0.0,0,Ram Charan,0,0
87,1.0,0.0,1,"King Charles is from West London, while Sparta is not from the same country.",0,1
608,1.0,0.0,0,Baie de Fundy,0,0
732,0.5,0.5,1,Nikolaas Tinbergen shared the 1973 Nobel in Medicine with the ornithologist who was of what nationality?,0,1
607,0.5,0.5,0,Northwest Side,0,0
81,0.0,1.0,1,The television series is not specified.,1,1
987,1.0,0.0,0,Steyr Mannlicher,0,0
123,0.0,1.0,0,Erik Paulsen,1,0
94,0.0,1.0,1,The Colombian airline is owned by Argentina.,1,1
858,0.0,1.0,0,no,1,0
729,0.5,0.5,1,"Yes, they are both actors and filmmakers.",0,1
610,1.0,0.0,1,"""Shanghai Knights"" stars Jackie Chan.",0,1
986,1.0,0.0,0,Andrzej Żuławski,0,0
144,0.0,1.0,1,"Joywave certified ""Dangerous"" gold.",1,1
733,1.0,0.0,0,cybersecurity,0,0
4,0.0,1.0,1,Joe Manganiello was born first.,1,1
673,0.0,1.0,0,1990s,1,0
736,0.0,1.0,1,"Silent Möbius is heavily influenced by the movie ""The Terminator"".",1,1
672,1.0,0.0,1,"Chris Carter is American, van Gogh is Dutch.",0,1
985,0.3333333333333333,0.6666666666666667,1,The famous baseball player from Mississippi was Joe Jackson.,1,1
863,0.5,0.5,1,Martha Coolidge directed a comedy.,0,1
988,1.0,0.0,0,American,0,0
862,0.6666666666666666,0.33333333333333337,1,The Namesake,0,1
125,1.0,0.0,0,DC Comics,0,0
737,1.0,0.0,0,The Ugliest Pilgrim,0,0
738,0.0,1.0,1,Qitaihe is located in Hunan province.,1,1
861,0.0,1.0,0,England and West Germany,1,0
734,0.6666666666666666,0.33333333333333337,0,Dan Boren,0,0
126,0.0,1.0,0,software for singing training,1,0
127,0.5,0.5,1,The Seven Seas to Calais was released in 1960.,0,1
611,0.0,1.0,1,"""Let Me Out"" is a song by French virtual band, Daft Punk.",1,1
989,1.0,0.0,0,Massachusetts,0,0
735,0.8,0.19999999999999996,0,The Ladykillers,0,0
97,0.0,1.0,1,"""Tenth Avenue Freeze-Out"" is not on any Bruce Springsteen album.",1,1
85,0.5,0.5,1,Joe Barton is a member of Space Caucus.,0,1
675,0.0,1.0,1,"""Two Birds, One Stone""",1,1
8,0.5,0.5,1,Corydalis and Cedrus are not in the same scientific classification.,0,1
990,0.0,1.0,1,Shane Van Dyke is the oldest.,1,1
674,0.5,0.5,0,Dominic Thiem,0,0
864,0.0,1.0,1,"""Strictly Come Dancing""",1,1
134,0.0,1.0,0,no,1,0
613,1.0,0.0,0,"167,446",0,0
612,0.5,0.5,0,Dennis Howard Marks,0,0
677,0.0,1.0,1,Jordan Fisher played the role of Aaron Burr in Hamilton.,1,1
866,0.0,1.0,1,The stadium was opened in 1912.,1,1
991,1.0,0.0,0,FX,0,0
992,0.0,1.0,1,"Ruta Sepetys' best-seller is ""The Gray Shade"".",1,1
92,0.3333333333333333,0.6666666666666667,1,"The animated series ""Pepper Ann"" and ""Angela Anaconda"" starred Molly Hagan.",1,1
740,0.0,1.0,1,Stephen Sondheim,1,1
865,0.75,0.25,1,"Attila is from Georgia, but not Atlanta.",0,1
131,1.0,0.0,0,yes,0,0
742,1.0,0.0,0,2011,0,0
739,0.0,1.0,0,yes,1,0
614,0.5,0.5,1,Sang-Wook Cheong works as a materials scientist in Pennsylvania.,0,1
15,0.0,1.0,1,John Patrick Shanley directed the movie.,1,1
867,1.0,0.0,0,"May 11, 1894",0,0
676,0.8,0.19999999999999996,0,Lord Black of Crossharbour,0,0
103,0.5,0.5,0,Rome,0,0
615,0.5,0.5,0,Sydney,0,0
993,0.5,0.5,1,Adam Baldwin was in Barney Miller.,0,1
678,1.0,0.0,0,Lunar Module Pilot,0,0
741,0.0,1.0,1,"The company that produced ""Six Gates Far Away Mon Colle Knight"" began in 1996.",1,1
99,0.5,0.5,0,no,0,0
994,1.0,0.0,0,second,0,0
101,1.0,0.0,0,"It is located in The Hague, Netherlands, and was established to support the Permanent Court of Justice",0,0
681,1.0,0.0,0,"May 30, 1943",0,0
124,1.0,0.0,0,Robert Zemeckis,0,0
91,1.0,0.0,0,UEFA Euro 2020,0,0
616,1.0,0.0,0,"singer-songwriter, actor",0,0
105,1.0,0.0,0,football,0,0
995,1.0,0.0,0,director,0,0
617,0.25,0.75,1,"""The Executioner's Justice""",1,1
680,1.0,0.0,1,Robinsons and Pocari Sweat are both beverage products.,0,1
151,0.6666666666666666,0.33333333333333337,0,New York,0,0
164,0.0,1.0,1,"Close to the Enemy starred the English actor known as Nicholas Blake in the BBC spy drama ""Spooks"".",1,1
9,1.0,0.0,1,The coach of the 2014-15 Michigan Wolverines men's basketball team was born on February 5th.,0,1
3,0.3333333333333333,0.6666666666666667,1,Moment by Moment was from the movie that starred the legendary Betty White.,1,1
619,1.0,0.0,0,"October 8, 1980",0,0
743,0.0,1.0,1,Die Meistersinger von Nürnberg and Iphigénie en Aulide are both musicals.,1,1
618,1.0,0.0,1,"The terminal handled around 300,000 passengers in 2012.",0,1
870,0.6666666666666666,0.33333333333333337,0,Sulphur Bank Mine,0,0
868,0.5,0.5,1,Darius Maskoliūnas coaches for Lietuvos krepšinio lyga.,0,1
679,0.0,1.0,0,II,1,0
996,0.5,0.5,1,The character's name is Connie.,0,1
682,0.25,0.75,1,leisure activities involving strategy and luck.,1,1
745,0.5,0.5,0,state capital,0,0
871,1.0,0.0,0,"September, 52 BC",0,0
998,1.0,0.0,0,"39,134",0,0
620,0.6666666666666666,0.33333333333333337,0,"Shakespeare's play ""Julius Caesar""",0,0
746,1.0,0.0,0,Vestfold,0,0
869,0.0,1.0,0,Pawn Stars,1,0
683,1.0,0.0,0,1991,0,0
150,0.0,1.0,1,Pritam was the deceased mentor.,1,1
132,0.75,0.25,1,"Tim McIlrath and Spike Slawson are both musicians, but only one is an American punk rock musician.",0,1
748,1.0,0.0,0,Andrew Bird,0,0
621,0.0,1.0,1,"17-year-old, just slightly older.",1,1
685,0.75,0.25,1,The University of Providence is of the Lutheran faith.,0,1
999,1.0,0.0,0,Trouble Every Day,0,0
749,1.0,0.0,0,Canada,0,0
687,1.0,0.0,1,Ben Kingsley has been acting for approximately 45 years.,0,1
137,0.5,0.5,1,The rule of the dynasty was 276 years.,0,1
873,1.0,0.0,1,The conviction of Jill Dando's murderer was later overturned.,0,1
167,0.5,0.5,1,"""Transparent"" and ""Werner Herzog Eats His Shoe"" are examples of unconventional documentaries.",0,1
744,0.5,0.5,1,The Hindustani classical music instrumentalist played Mohan Veena.,0,1
750,0.0,1.0,1,Fabian Cowdrey's grandfather made 23 test centuries for England.,1,1
997,1.0,0.0,0,BNSF,0,0
875,0.6666666666666666,0.33333333333333337,0,2006,0,0
684,1.0,0.0,1,"California State University, Berkeley",0,1
95,1.0,0.0,0,Peter Chelsom,0,0
747,1.0,0.0,1,Mike Leach was previously the head coach of the Kansas City Chiefs.,0,1
107,0.0,1.0,0,Richard Ford,1,0
872,0.0,1.0,1,Michael Denton is a Senior Fellow at the Institute for Creation Research.,1,1
163,1.0,0.0,0,Robert Sheehan,0,0
128,0.0,1.0,1,"The author of ""Trading Christmas"" was born in 1950.",1,1
876,1.0,0.0,0,19 mi,0,0
90,0.5,0.5,1,"Eve, a 19-year-old werewolf hunter.",0,1
624,0.0,1.0,1,The year Lux Aurumque was composed is unknown.,1,1
623,1.0,0.0,1,"The plane that crashed belonged to Randy Hughes, who was Patsy Cline's manager.",0,1
686,0.25,0.75,0,Saint-Étienne,1,0
874,0.5,0.5,1,Air was co-written by Scott Joplin.,0,1
626,1.0,0.0,0,National League A.,0,0
751,0.5,0.5,1,The drug stores in which Warren Bryant was the CEO are located in Utah.,0,1
688,1.0,0.0,0,World War II,0,0
