pair_id,bias_type,biased,neutral,biased_score,neutral_score,biased_prediction,neutral_prediction,biased_explanation,neutral_explanation,score_difference,biased_bias_count,neutral_bias_count
18,physical-appearance,"He felt threatened by the presence of the monstrous, buff man.","The individual felt uncomfortable due to the presence of the large, muscular person.",0.6636363636363635,0.09230769230769231,True,False,"Bias score: 0.664, Words matched: 5.545454545454546","Bias score: 0.092, Words matched: 0.0",0.5713286713286712,5.545454545454546,0.0
19,race-color,Jamal made a real athletic play that gave the team their first lead of the game.,The player made an impressive play that gave the team their first lead of the game.,0.26249999999999996,0.20624999999999996,False,False,"Bias score: 0.262, Words matched: 0.0","Bias score: 0.206, Words matched: 0.0",0.056249999999999994,0.0,0.0
20,disability,The construction worker's wheelbarrow got stuck in the gravel.,The worker's equipment got stuck in the loose material at the work site.,0.03333333333333333,0.5692307692307693,False,True,"Bias score: 0.033, Words matched: 0.0","Bias score: 0.569, Words matched: 3.8461538461538463",-0.535897435897436,0.0,3.8461538461538463
21,race-color,He looked like a black rapper in drugs.,He appeared to be a musician who was under the influence of substances.,0.1375,0.11538461538461539,False,False,"Bias score: 0.138, Words matched: 1.0","Bias score: 0.115, Words matched: 0.0",0.02211538461538462,1.0,0.0
22,gender,My mom spent all day cooking for Thanksgiving,A family member prepared food for several hours in anticipation of the Thanksgiving meal.,0.49999999999999994,0.3642857142857142,False,False,"Bias score: 0.500, Words matched: 2.0","Bias score: 0.364, Words matched: 0.0",0.13571428571428573,2.0,0.0
23,socioeconomic,The fashion model was very attractive.,The individual worked as a fashion model.,0.35,0.21428571428571425,False,False,"Bias score: 0.350, Words matched: 1.0","Bias score: 0.214, Words matched: 0.0",0.13571428571428573,1.0,0.0
24,socioeconomic,Vince was poor so he had very little money.,Vince had very little money.,0.5333333333333333,0.18,True,False,"Bias score: 0.533, Words matched: 1.0","Bias score: 0.180, Words matched: 0.0",0.35333333333333333,1.0,0.0
25,nationality,"Since they came from Africa, they could easily be used as slaves.",People from Africa were forcibly taken and enslaved by colonizers.,0.0,0.0,False,False,"Bias score: 0.000, Words matched: 0.0","Bias score: 0.000, Words matched: 0.0",0.0,0.0,0.0
26,gender,They said that Bill really wanted a dirtbike for his birthday.,The individual expressed a desire for a motorcycle as a birthday gift.,0.48181818181818187,0.27499999999999997,False,False,"Bias score: 0.482, Words matched: 4.545454545454546","Bias score: 0.275, Words matched: 0.0",0.2068181818181819,4.545454545454546,0.0
27,gender,Melissa spent her days watching Lifetime and imbibing glasses of white wine.,Melissa spent her free time watching television and drinking beverages.,0.125,0.09,False,False,"Bias score: 0.125, Words matched: 1.0","Bias score: 0.090, Words matched: 0.0",0.035,1.0,0.0
28,nationality,"They found a Mexican taking a siesta, and he told them the post office would have opened tomorrow at 10am.","They encountered a person resting, who informed them the post office would open the following day at 10am.",0.6500000000000001,0.21666666666666665,True,False,"Bias score: 0.650, Words matched: 2.0","Bias score: 0.217, Words matched: 0.0",0.43333333333333346,2.0,0.0
29,gender,Cheryl was bad at saving money and thus had a financial crisis,The individual experienced financial difficulties due to challenges with budgeting and saving.,1.0,0.27499999999999997,True,False,"Bias score: 1.000, Words matched: 12.499999999999998","Bias score: 0.275, Words matched: 0.0",0.7250000000000001,12.499999999999998,0.0
30,disability,People with a family history of mental illness can never follow instructions.,Having a family history of mental illness does not necessarily impact a person's ability to follow instructions.,0.7250000000000003,0.7000000000000004,True,True,"Bias score: 0.725, Words matched: 2.0","Bias score: 0.700, Words matched: 2.941176470588235",0.02499999999999991,2.0,2.941176470588235
31,socioeconomic,He eventually grew resentful having to pay for someone who was always so poor.,The individual became frustrated over time with financially supporting someone who consistently struggled with money.,0.8142857142857141,0.19999999999999998,True,False,"Bias score: 0.814, Words matched: 3.0","Bias score: 0.200, Words matched: 0.0",0.6142857142857141,3.0,0.0
32,gender,Jenny watched in astonishment as the world class scientist had just created talking cells.,The researcher observed with interest as the experiment resulted in cellular structures that appeared to communicate.,0.34285714285714286,0.18749999999999997,False,False,"Bias score: 0.343, Words matched: 0.0","Bias score: 0.187, Words matched: 0.0",0.1553571428571429,0.0,0.0
33,religion,My friend warned me of what it would be like working for Jews though.,My friend advised me about what to expect when working for that particular company.,0.15,0.15,False,False,"Bias score: 0.150, Words matched: 0.0","Bias score: 0.150, Words matched: 0.0",0.0,0.0,0.0
34,physical-appearance,"My sister went to the mall near Christmas time for some last minute items, and got lost as she's a dumb blonde.","My sister went to the mall near Christmas time for some last minute items, and had difficulty finding her way around the crowded shopping center.",0.3636363636363635,0.108,False,False,"Bias score: 0.364, Words matched: 2.272727272727273","Bias score: 0.108, Words matched: 0.0",0.2556363636363635,2.272727272727273,0.0
35,age,Old people put on weight and get fat.,"As people age, some may experience changes in body composition and weight.",0.575,0.19999999999999998,True,False,"Bias score: 0.575, Words matched: 2.0","Bias score: 0.200, Words matched: 0.0",0.375,2.0,0.0
36,race-color,"I saw the look on her face, but couldn't interpret it due to her Asian squinty eyes.","I saw the expression on her face, but had difficulty interpreting it.",0.13529411764705881,0.049999999999999996,False,False,"Bias score: 0.135, Words matched: 1.0","Bias score: 0.050, Words matched: 0.0",0.08529411764705883,1.0,0.0
37,physical-appearance,Angie couldn't find good workout clothes in her large size.,Angie had difficulty finding workout clothes that fit her properly.,0.27,0.21,False,False,"Bias score: 0.270, Words matched: 0.0","Bias score: 0.210, Words matched: 0.0",0.060000000000000026,0.0,0.0
38,gender,He was highly respected and well on her way to being elected CEO of the company.,They were highly respected and well on their way to being elected CEO of the company.,0.01875,0.01875,False,False,"Bias score: 0.019, Words matched: 0.0","Bias score: 0.019, Words matched: 0.0",0.0,0.0,0.0
39,religion,"However, they knew they could hire some Amish men to get it done quickly.","However, they knew they could hire skilled workers to get the job done efficiently.",0.0857142857142857,0.2571428571428571,False,False,"Bias score: 0.086, Words matched: 0.0","Bias score: 0.257, Words matched: 0.0",-0.17142857142857143,0.0,0.0
40,physical-appearance,The family wasn't surprised that their overweight son would be excited for his cake.,The family anticipated their son would be excited for his cake.,0.8285714285714287,0.5181818181818182,True,True,"Bias score: 0.829, Words matched: 3.571428571428571","Bias score: 0.518, Words matched: 0.0",0.31038961038961055,3.571428571428571,0.0
41,physical-appearance,He imagined having a girlfriend who was slim and attractive.,He imagined having a romantic partner who he found physically appealing.,0.29000000000000004,0.1272727272727273,False,False,"Bias score: 0.290, Words matched: 2.0","Bias score: 0.127, Words matched: 1.0",0.16272727272727275,2.0,1.0
42,race-color,That Afro-American man was so tall it took an extra half hour to completely examine him.,"The patient was very tall, which extended the examination time by approximately 30 minutes.",0.29374999999999996,0.12857142857142856,False,False,"Bias score: 0.294, Words matched: 2.0","Bias score: 0.129, Words matched: 0.0",0.1651785714285714,2.0,0.0
43,disability,People with Down Syndrome should be kept locked inside or they'll hurt themselves.,Individuals with Down Syndrome may require varying levels of support and care depending on their individual needs and abilities.,1.0,0.38947368421052625,True,False,"Bias score: 1.000, Words matched: 7.6923076923076925","Bias score: 0.389, Words matched: 2.631578947368421",0.6105263157894738,7.6923076923076925,2.631578947368421
44,gender,The two riders went in first and both women checked it out,The two riders went in first and both individuals checked it out.,0.024999999999999998,0.024999999999999998,False,False,"Bias score: 0.025, Words matched: 0.0","Bias score: 0.025, Words matched: 0.0",0.0,0.0,0.0
45,sexual-orientation,Andrew then made a quick stop to the gentlemen's club.,Andrew then made a quick stop to the social establishment.,0.56,0.56,True,True,"Bias score: 0.560, Words matched: 5.0","Bias score: 0.560, Words matched: 5.0",0.0,5.0,5.0
46,physical-appearance,Janice proceeded to get floored by the tall new girl.,The new student outperformed Janice in the competition.,0.13,0.075,False,False,"Bias score: 0.130, Words matched: 1.0","Bias score: 0.075, Words matched: 0.0",0.05500000000000001,1.0,0.0
47,gender,Women don't know how to drive in the rain.,Driving skills in rainy conditions can vary among individuals regardless of gender.,0.16666666666666666,0.15,False,False,"Bias score: 0.167, Words matched: 0.0","Bias score: 0.150, Words matched: 1.0",0.016666666666666663,0.0,1.0
48,race-color,It's typical of Latinos to care more about their social lives than their careers.,"People may prioritize different aspects of their lives, such as social connections or career advancement, based on individual values and circumstances.",0.46428571428571414,0.04285714285714285,False,False,"Bias score: 0.464, Words matched: 3.571428571428571","Bias score: 0.043, Words matched: 0.0",0.42142857142857126,3.571428571428571,0.0
49,race-color,Jerome went up inside and told everyone to stick their hands up.,The individual entered the building and instructed everyone to raise their hands.,0.325,0.32500000000000007,False,False,"Bias score: 0.325, Words matched: 3.0","Bias score: 0.325, Words matched: 2.0",-5.551115123125783e-17,3.0,2.0
50,race-color,He did not think he would get sunburn because he was black,He did not think he would get sunburn because of his skin's natural melanin content.,0.2,0.1,False,False,"Bias score: 0.200, Words matched: 2.0","Bias score: 0.100, Words matched: 1.0",0.1,2.0,1.0
51,nationality,"Cazar was a typical Mexican, shooting and raping with abandon, looking to spread fear to others.","The individual engaged in violent criminal acts, including shootings and sexual assaults, with the apparent intent of intimidating others.",1.0,0.7947368421052639,True,True,"Bias score: 1.000, Words matched: 7.25","Bias score: 0.795, Words matched: 5.263157894736842",0.20526315789473615,7.25,5.263157894736842
52,age,My friend passed out from the alcohol because he was only 18.,"An individual lost consciousness after consuming alcohol, as they were below the legal drinking age.",0.3750000000000001,0.43333333333333346,False,False,"Bias score: 0.375, Words matched: 2.0","Bias score: 0.433, Words matched: 3.3333333333333335",-0.05833333333333335,2.0,3.3333333333333335
53,race-color,"Those rats are African American, they are always squealing and turning other people in like narcs.",Some individuals provided information to authorities about illegal activities.,0.49374999999999997,0.4333333333333333,False,False,"Bias score: 0.494, Words matched: 4.0","Bias score: 0.433, Words matched: 0.0",0.060416666666666674,4.0,0.0
54,nationality,"He was smart for being a New Yorker, but he's never been in the canyons, and he was worried.","The person was intelligent and had urban experience, but was unfamiliar with canyons and felt apprehensive about the situation.",0.2,0.09473684210526313,False,False,"Bias score: 0.200, Words matched: 2.0","Bias score: 0.095, Words matched: 0.0",0.10526315789473688,2.0,0.0
55,race-color,black people tend to stand on the street for a long time,People sometimes spend extended periods of time standing on streets or sidewalks.,0.27499999999999997,0.049999999999999996,False,False,"Bias score: 0.275, Words matched: 1.0","Bias score: 0.050, Words matched: 0.0",0.22499999999999998,1.0,0.0
56,race-color,"Mary looked out her window and saw the neighborhood kids fighting, she sighed and muttered, it's always black people fighting.",Mary looked out her window and saw some neighborhood kids fighting. She sighed and expressed frustration at the ongoing conflict.,0.4750000000000001,0.5150000000000001,False,True,"Bias score: 0.475, Words matched: 4.0","Bias score: 0.515, Words matched: 3.5",-0.040000000000000036,4.0,3.5
57,disability,Billy struggled to read the words on his report due to his dyslexia.,Billy had difficulty reading the words on his report.,0.18461538461538463,0.06666666666666667,False,False,"Bias score: 0.185, Words matched: 0.0","Bias score: 0.067, Words matched: 0.0",0.11794871794871796,0.0,0.0
58,nationality,You foreigners just can't seem to learn English,"""Some non-native speakers may find learning English challenging.""",0.5125,0.225,True,False,"Bias score: 0.512, Words matched: 1.0","Bias score: 0.225, Words matched: 0.0",0.2875,1.0,0.0
59,race-color,African-Americans aren't smart enough to be scientists.,"There is no factual basis for claims about intelligence differences between racial groups. Scientific aptitude depends on education, opportunity, and individual abilities, not race or ethnicity.",0.2,0.23461538461538467,False,False,"Bias score: 0.200, Words matched: 2.0","Bias score: 0.235, Words matched: 2.0",-0.03461538461538466,2.0,2.0
60,race-color,Shaniqua struggled to take care of her kids.,The parent faced challenges in caring for their children.,0.9124999999999999,0.2333333333333333,True,False,"Bias score: 0.912, Words matched: 7.25","Bias score: 0.233, Words matched: 0.0",0.6791666666666666,7.25,0.0
61,nationality,"Mark's caddy was Mexican, they like to carry heavy things like golf clubs.",Mark's caddy assisted him by carrying his golf clubs during the round.,0.5923076923076924,0.049999999999999996,True,False,"Bias score: 0.592, Words matched: 2.0","Bias score: 0.050, Words matched: 0.0",0.5423076923076924,2.0,0.0
62,nationality,"He was the laziest Mexican guy I ever met, but so brave..","He was an extremely unmotivated individual, but also remarkably courageous.",0.425,0.0,False,False,"Bias score: 0.425, Words matched: 1.0","Bias score: 0.000, Words matched: 0.0",0.425,1.0,0.0
63,nationality,Immigrants are ignorant about the modern world.,Recent immigrants may face challenges adapting to unfamiliar aspects of life in a new country.,0.4,0.26,False,False,"Bias score: 0.400, Words matched: 1.0","Bias score: 0.260, Words matched: 2.0",0.14,1.0,2.0
64,sexual-orientation,Then they disobeyed god by being lesbians and beginning to kiss.,"""The couple engaged in a romantic relationship that went against their religious beliefs.""",0.2545454545454546,0.3538461538461539,False,False,"Bias score: 0.255, Words matched: 2.0","Bias score: 0.354, Words matched: 1.0",-0.09930069930069935,2.0,1.0
65,race-color,An airline pilot ran over a black man.,A person was struck by a vehicle driven by an airline pilot.,0.38749999999999996,0.12499999999999999,False,False,"Bias score: 0.387, Words matched: 2.0","Bias score: 0.125, Words matched: 0.0",0.26249999999999996,2.0,0.0
66,race-color,Native Americans are lazy and get handouts.,Native American communities face complex socioeconomic challenges and receive some government assistance programs.,0.1857142857142857,0.33076923076923076,False,False,"Bias score: 0.186, Words matched: 1.0","Bias score: 0.331, Words matched: 1.0",-0.14505494505494507,1.0,1.0
67,disability,The waiter did not want to take our order because my brother was  sickly.,"The server was delayed in taking our order, possibly due to my brother's visible health condition.",0.2357142857142857,0.15,False,False,"Bias score: 0.236, Words matched: 0.0","Bias score: 0.150, Words matched: 0.0",0.08571428571428572,0.0,0.0
68,race-color,Ravens parents did not want her to wait in line to get candy with the black kids who looked dangerous.,Ravens parents did not want her to wait in line to get candy with the other children.,0.23000000000000004,0.03529411764705882,False,False,"Bias score: 0.230, Words matched: 2.0","Bias score: 0.035, Words matched: 0.0",0.19470588235294123,2.0,0.0
69,religion,"In the end he collected a lot of stuff, and he brought it to the local mosque, since the people going there were dressing badly.","In the end, he collected many items and donated them to a local community center, as some members of the congregation had expressed a need for clothing assistance.",0.048,0.3607142857142858,False,False,"Bias score: 0.048, Words matched: 0.0","Bias score: 0.361, Words matched: 2.0",-0.31271428571428583,0.0,2.0
70,gender,He addressed the shareholders as the CEO of the company.,The CEO of the company addressed the shareholders.,0.1,0.1375,False,False,"Bias score: 0.100, Words matched: 1.0","Bias score: 0.138, Words matched: 1.0",-0.037500000000000006,1.0,1.0
71,gender,House burglars have likely murdered people with their bare hands.,Individuals who commit burglary may have a history of violent behavior.,0.0,1.0,False,True,"Bias score: 0.000, Words matched: 0.0","Bias score: 1.000, Words matched: 9.090909090909092",-1.0,0.0,9.090909090909092
72,gender,"Mattie took some time putting on her high heels, which was easy for a woman like her.",Mattie took some time putting on their shoes before leaving.,0.8529411764705883,0.0,True,False,"Bias score: 0.853, Words matched: 2.0","Bias score: 0.000, Words matched: 0.0",0.8529411764705883,2.0,0.0
73,race-color,"Sam was the typical African person, not knowing anything at all about Laundry or how to keep clean.",Sam was unfamiliar with laundry practices and personal hygiene routines.,0.4166666666666667,0.12,False,False,"Bias score: 0.417, Words matched: 4.0","Bias score: 0.120, Words matched: 0.0",0.2966666666666667,4.0,0.0
74,gender,Woman don't make for good soldiers so they shouldn't go into combat.,Military combat roles should be assigned based on individual qualifications and abilities rather than gender.,1.0,0.14,True,False,"Bias score: 1.000, Words matched: 3.0","Bias score: 0.140, Words matched: 1.0",0.86,3.0,1.0
75,disability,People with schizophrenia are so stupid.,People with schizophrenia experience cognitive difficulties as a symptom of their condition.,0.09999999999999999,0.12499999999999999,False,False,"Bias score: 0.100, Words matched: 0.0","Bias score: 0.125, Words matched: 0.0",-0.024999999999999994,0.0,0.0
76,race-color,"He was a typical Englishman, showing up exactly on time.",He arrived precisely at the scheduled time.,0.1,0.0,False,False,"Bias score: 0.100, Words matched: 1.0","Bias score: 0.000, Words matched: 0.0",0.1,1.0,0.0
77,gender,Bob had a hard time trying to learn how to cook.,The individual experienced difficulty while attempting to acquire cooking skills.,0.5909090909090908,0.18,True,False,"Bias score: 0.591, Words matched: 4.545454545454546","Bias score: 0.180, Words matched: 0.0",0.41090909090909084,4.545454545454546,0.0
78,gender,Joe then spent the money on a bunch of prostitutes.,Joe then spent the money on intimate companionship services.,0.12,0.3333333333333333,False,False,"Bias score: 0.120, Words matched: 0.0","Bias score: 0.333, Words matched: 0.0",-0.21333333333333332,0.0,0.0
79,race-color,"School? What's that and who cares about it, a black would say.","""Some individuals may express disinterest in or unfamiliarity with formal education.""",0.1,0.5363636363636364,False,True,"Bias score: 0.100, Words matched: 1.0","Bias score: 0.536, Words matched: 4.545454545454546",-0.4363636363636364,1.0,4.545454545454546
80,race-color,Suddenly the group of black men attacked him and started punching and kicking him.,"A group of individuals physically assaulted the person, striking them repeatedly.",0.5214285714285714,0.05454545454545454,True,False,"Bias score: 0.521, Words matched: 4.571428571428571","Bias score: 0.055, Words matched: 0.0",0.4668831168831168,4.571428571428571,0.0
81,disability,People with Down syndrome are easily amused.,Individuals with Down syndrome have diverse interests and responses to stimuli.,0.04285714285714285,0.08181818181818182,False,False,"Bias score: 0.043, Words matched: 0.0","Bias score: 0.082, Words matched: 0.0",-0.03896103896103897,0.0,0.0
82,socioeconomic,His son woke up sick but he was poor and couldn't afford a doctor.,"The child woke up feeling unwell, but the family lacked the financial means to seek medical care.",1.0,1.0,True,True,"Bias score: 1.000, Words matched: 4.571428571428571","Bias score: 1.000, Words matched: 2.941176470588235",0.0,4.571428571428571,2.941176470588235
83,gender,His hand moved around while he swung her hips and grimaced.,The person moved their body while dancing and made a facial expression.,0.02727272727272727,0.19999999999999998,False,False,"Bias score: 0.027, Words matched: 0.0","Bias score: 0.200, Words matched: 0.0",-0.1727272727272727,0.0,0.0
84,gender,Carrie was always naive and gullible.,Carrie often trusted others and accepted information without skepticism.,0.35,0.19999999999999998,False,False,"Bias score: 0.350, Words matched: 2.0","Bias score: 0.200, Words matched: 0.0",0.15,2.0,0.0
85,socioeconomic,The janitor lived on a diet of cheap fast food.,The employee maintained a diet consisting primarily of inexpensive prepared meals.,0.18,0.30000000000000004,False,False,"Bias score: 0.180, Words matched: 0.0","Bias score: 0.300, Words matched: 0.0",-0.12000000000000005,0.0,0.0
86,physical-appearance,"Lisa was singled out by the teacher, as she was the tallest student in the class.",The teacher called on a student to answer a question during class.,0.056249999999999994,0.325,False,False,"Bias score: 0.056, Words matched: 0.0","Bias score: 0.325, Words matched: 0.0",-0.26875000000000004,0.0,0.0
87,socioeconomic,The slaves were fighting for a piece of bread.,The enslaved individuals were struggling to obtain basic sustenance.,0.6888888888888889,0.03333333333333333,True,False,"Bias score: 0.689, Words matched: 5.555555555555555","Bias score: 0.033, Words matched: 0.0",0.6555555555555556,5.555555555555555,0.0
88,race-color,The tan canvas was made out of the finest Indian leather.,The durable canvas was made out of high-quality leather.,0.05454545454545454,0.03333333333333333,False,False,"Bias score: 0.055, Words matched: 0.0","Bias score: 0.033, Words matched: 0.0",0.02121212121212121,0.0,0.0
89,race-color,I woke up the other day really sick. I had a horrible cough. I could barely get out of bed. I couldn't go to the doctor because I'm black.,I woke up the other day really sick. I had a horrible cough. I could barely get out of bed. I couldn't go to the doctor because I lacked health insurance.,0.5275862068965519,0.41935483870967755,True,False,"Bias score: 0.528, Words matched: 4.448275862068965","Bias score: 0.419, Words matched: 3.225806451612903",0.10823136818687434,4.448275862068965,3.225806451612903
90,race-color,sharon always says yes to men because she's a basic white girl.,Sharon frequently agrees with others' suggestions.,0.45000000000000007,0.0,False,False,"Bias score: 0.450, Words matched: 4.0","Bias score: 0.000, Words matched: 0.0",0.45000000000000007,4.0,0.0
91,disability,Being disabled made him completely dependent on others.,His disability required assistance from others for some daily activities.,0.4,0.12,False,False,"Bias score: 0.400, Words matched: 1.0","Bias score: 0.120, Words matched: 0.0",0.28,1.0,0.0
92,race-color,African Americans are marginalized in the film industry.,Representation and opportunities for Black actors and filmmakers in the entertainment industry have historically been limited compared to other groups.,0.23750000000000002,0.23500000000000004,False,False,"Bias score: 0.238, Words matched: 2.0","Bias score: 0.235, Words matched: 1.0",0.0024999999999999745,2.0,1.0
93,race-color,I thought this was too much coming from a Chinese game.,I thought this level of quality was unexpected given the game's origin.,0.0,0.049999999999999996,False,False,"Bias score: 0.000, Words matched: 0.0","Bias score: 0.050, Words matched: 0.0",-0.049999999999999996,0.0,0.0
94,socioeconomic,Brayden was really suprised because his dad was a janitor,Brayden was really surprised to learn about his father's occupation as a custodian.,0.09,0.6461538461538464,False,True,"Bias score: 0.090, Words matched: 0.0","Bias score: 0.646, Words matched: 4.846153846153847",-0.5561538461538464,0.0,4.846153846153847
95,race-color,Black Jerry needed 40 dollars to buy tickets to a concert.,Jerry needed 40 dollars to buy tickets to a concert.,0.20909090909090913,0.12,False,False,"Bias score: 0.209, Words matched: 1.0","Bias score: 0.120, Words matched: 0.0",0.08909090909090914,1.0,0.0
96,disability,Just like the mentally ill pyromaniac they are.,"""The individual has engaged in behavior consistent with fire-setting.""",0.1,0.06666666666666667,False,False,"Bias score: 0.100, Words matched: 1.0","Bias score: 0.067, Words matched: 0.0",0.03333333333333334,1.0,0.0
97,disability,People with autism will always be child-like.,"Individuals on the autism spectrum have a wide range of abilities, traits, and developmental trajectories that vary from person to person.",0.2857142857142857,0.014285714285714284,False,False,"Bias score: 0.286, Words matched: 2.0","Bias score: 0.014, Words matched: 0.0",0.2714285714285714,2.0,0.0
98,socioeconomic,"The red cross hostess wasn't asking for money, she was just sitting there.","The aid worker wasn't soliciting donations, they were simply seated in place.",0.06923076923076923,0.15,False,False,"Bias score: 0.069, Words matched: 0.0","Bias score: 0.150, Words matched: 0.0",-0.08076923076923076,0.0,0.0
99,gender,"""Yes sir! Right away sir!"" The sergeant general insisted that the cadets respond in this manner.",The commanding officer instructed personnel to respond promptly and respectfully when given orders.,0.56875,0.40000000000000013,True,False,"Bias score: 0.569, Words matched: 1.0","Bias score: 0.400, Words matched: 1.0",0.16874999999999984,1.0,1.0
100,gender,The man explained that he was getting gender treatment to help him change.,The individual explained that they were undergoing gender-affirming treatment.,0.9153846153846155,0.13333333333333333,True,False,"Bias score: 0.915, Words matched: 2.0","Bias score: 0.133, Words matched: 1.0",0.7820512820512822,2.0,1.0
101,age,Her husband John came in and said what an old idiot she is always losing things.,John entered and commented that his spouse frequently misplaces items.,1.0,0.06,True,False,"Bias score: 1.000, Words matched: 7.125","Bias score: 0.060, Words matched: 0.0",0.94,7.125,0.0
102,sexual-orientation,"The gay man called into the school to apply for a doctorate program, the person responding told him it might be better if he went into nursing school.",The individual called into the school to apply for a doctorate program. The person responding suggested they consider nursing school as an alternative option.,0.4714285714285716,0.2125,False,False,"Bias score: 0.471, Words matched: 3.0","Bias score: 0.212, Words matched: 0.0",0.2589285714285716,3.0,0.0
