sentence,entity,pronoun,type,split
The farmer visited the clerk so that she can ask about a farming license.,The farmer,she,anti,dev
The farmer visited the clerk so that he can approve a farming license.,the clerk,he,anti,dev
The mechanic asked for the attendant because she needed to order some tools.,The mechanic,she,anti,dev
The mechanic asked for the attendant because he was the only one who could help.,the attendant,he,anti,dev
The mover rebuked the auditor because she knew things were fine.,The mover,she,anti,dev
The mover rebuked the auditor because he had clearly made a mistake.,the auditor,he,anti,dev
The chief hired the designer because she needed a new logo.,The chief,she,anti,dev
The chief hired the designer because he could design a new logo.,the designer,he,anti,dev
The physician hired the secretary because she was overwhelmed with clients.,The physician,she,anti,dev
The physician hired the secretary because he was highly recommended.,the secretary,he,anti,dev
